image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_6_A0.jpg,143,113,233,203
user_6_A1.jpg,143,113,233,203
user_6_A2.jpg,141,115,231,205
user_6_A3.jpg,143,112,233,202
user_6_A4.jpg,147,110,237,200
user_6_A5.jpg,190,83,290,183
user_6_A6.jpg,188,83,288,183
user_6_A7.jpg,192,90,292,190
user_6_A8.jpg,188,94,288,194
user_6_A9.jpg,186,93,286,193
user_6_B0.jpg,116,57,246,187
user_6_B1.jpg,113,59,243,189
user_6_B2.jpg,114,63,244,193
user_6_B3.jpg,114,63,244,193
user_6_B4.jpg,125,78,235,188
user_6_B5.jpg,168,54,298,184
user_6_B6.jpg,168,54,298,184
user_6_B7.jpg,172,61,292,181
user_6_B8.jpg,174,64,294,184
user_6_B9.jpg,174,66,294,186
user_6_C0.jpg,103,56,223,176
user_6_C1.jpg,103,52,223,172
user_6_C2.jpg,116,52,226,162
user_6_C3.jpg,118,51,228,161
user_6_C4.jpg,119,49,229,159
user_6_C5.jpg,185,52,295,162
user_6_C6.jpg,184,57,294,167
user_6_C7.jpg,187,63,297,173
user_6_C8.jpg,191,62,301,172
user_6_C9.jpg,197,62,307,172
user_6_D0.jpg,82,57,232,207
user_6_D1.jpg,90,65,230,205
user_6_D2.jpg,96,62,236,202
user_6_D3.jpg,106,76,226,196
user_6_D4.jpg,106,77,226,197
user_6_D5.jpg,115,72,255,212
user_6_D6.jpg,122,66,262,206
user_6_D7.jpg,133,66,273,206
user_6_D8.jpg,124,66,264,206
user_6_D9.jpg,134,65,274,205
user_6_E0.jpg,148,103,238,193
user_6_E1.jpg,154,108,244,198
user_6_E2.jpg,152,110,242,200
user_6_E3.jpg,156,114,246,204
user_6_E4.jpg,153,115,243,205
user_6_E5.jpg,163,95,263,195
user_6_E6.jpg,161,97,261,197
user_6_E7.jpg,166,95,266,195
user_6_E8.jpg,176,100,266,190
user_6_E9.jpg,174,102,264,192
user_6_F0.jpg,117,87,237,207
user_6_F1.jpg,109,82,229,202
user_6_F2.jpg,115,87,235,207
user_6_F3.jpg,107,91,227,211
user_6_F4.jpg,109,89,229,209
user_6_F5.jpg,142,65,272,195
user_6_F6.jpg,134,63,264,193
user_6_F7.jpg,144,63,274,193
user_6_F8.jpg,152,63,282,193
user_6_F9.jpg,144,64,274,194
user_6_G0.jpg,139,118,239,218
user_6_G1.jpg,146,122,246,222
user_6_G2.jpg,142,117,242,217
user_6_G3.jpg,156,118,256,218
user_6_G4.jpg,154,114,254,214
user_6_G5.jpg,157,129,247,219
user_6_G6.jpg,154,129,244,219
user_6_G7.jpg,162,130,252,220
user_6_G8.jpg,141,132,231,222
user_6_G9.jpg,150,132,240,222
user_6_H0.jpg,177,100,287,210
user_6_H1.jpg,183,116,283,216
user_6_H2.jpg,173,118,273,218
user_6_H3.jpg,188,126,288,226
user_6_H4.jpg,170,108,290,228
user_6_H5.jpg,140,97,250,207
user_6_H6.jpg,132,98,242,208
user_6_H7.jpg,132,109,242,219
user_6_H8.jpg,126,118,236,228
user_6_H9.jpg,135,126,245,236
user_6_I0.jpg,153,86,263,196
user_6_I1.jpg,147,81,257,191
user_6_I2.jpg,157,94,267,204
user_6_I3.jpg,161,100,261,200
user_6_I4.jpg,153,104,253,204
user_6_I5.jpg,195,72,315,192
user_6_I6.jpg,196,83,316,203
user_6_I7.jpg,189,82,309,202
user_6_I8.jpg,199,83,319,203
user_6_I9.jpg,195,76,315,196
user_6_K0.jpg,107,66,237,196
user_6_K1.jpg,98,66,228,196
user_6_K2.jpg,121,67,251,197
user_6_K3.jpg,109,62,239,192
user_6_K4.jpg,120,69,250,199
user_6_K5.jpg,94,62,234,202
user_6_K6.jpg,104,65,244,205
user_6_K7.jpg,80,62,220,202
user_6_K8.jpg,92,67,232,207
user_6_K9.jpg,76,65,216,205
user_6_L0.jpg,159,87,289,217
user_6_L1.jpg,158,83,288,213
user_6_L2.jpg,166,91,296,221
user_6_L3.jpg,151,84,281,214
user_6_L4.jpg,162,85,292,215
user_6_L5.jpg,146,65,276,195
user_6_L6.jpg,134,59,264,189
user_6_L7.jpg,148,67,278,197
user_6_L8.jpg,143,60,273,190
user_6_L9.jpg,154,62,284,192
user_6_M0.jpg,137,82,237,182
user_6_M1.jpg,130,80,230,180
user_6_M2.jpg,146,79,246,179
user_6_M3.jpg,146,93,226,173
user_6_M4.jpg,145,90,235,180
user_6_M5.jpg,162,104,262,204
user_6_M6.jpg,155,101,255,201
user_6_M7.jpg,164,114,264,214
user_6_M8.jpg,154,120,254,220
user_6_M9.jpg,142,121,242,221
user_6_N0.jpg,150,120,240,210
user_6_N1.jpg,145,119,235,209
user_6_N2.jpg,153,125,243,215
user_6_N3.jpg,139,120,229,210
user_6_N4.jpg,141,127,231,217
user_6_N5.jpg,140,100,250,210
user_6_N6.jpg,132,98,242,208
user_6_N7.jpg,145,100,255,210
user_6_N8.jpg,138,102,248,212
user_6_N9.jpg,149,108,259,218
user_6_O0.jpg,182,100,272,190
user_6_O1.jpg,173,96,263,186
user_6_O2.jpg,180,105,270,195
user_6_O3.jpg,172,99,262,189
user_6_O4.jpg,172,103,262,193
user_6_O5.jpg,166,77,276,187
user_6_O6.jpg,156,73,266,183
user_6_O7.jpg,174,81,284,191
user_6_O8.jpg,165,80,275,190
user_6_O9.jpg,178,87,288,197
user_6_P0.jpg,62,109,162,209
